login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
dpryan79,dpryan79/r-biganalytics-feedstock,2018-10-21T15:16:31Z,0,0,Shell,True,False,bsd-3-clause
dpryan79,dpryan79/r-bit-feedstock,2018-10-10T10:27:30Z,0,0,Shell,True,False,bsd-3-clause
dpryan79,dpryan79/r-bit64-feedstock,2018-10-10T20:59:48Z,0,0,Shell,True,False,bsd-3-clause
dpryan79,dpryan79/r-biwt-feedstock,2018-10-15T12:00:56Z,0,0,Shell,True,False,bsd-3-clause
ParthS007,ParthS007/academia-django,2022-08-19T15:00:18Z,1,1,Python,True,True,
ParthS007,ParthS007/Ali-Scraper,2018-06-12T19:39:12Z,42,42,Python,False,False,gpl-3.0
ParthS007,ParthS007/analysispreservation.cern.ch,2021-11-01T14:16:08Z,1,1,Python,True,True,gpl-3.0
ParthS007,ParthS007/automatic-clipping-vs-random-sparsification,2024-06-10T14:42:16Z,2,2,Python,False,False,gpl-3.0
ParthS007,ParthS007/background,2017-09-02T21:38:01Z,511,511,Python,True,True,
ParthS007,ParthS007/badgeyay,2018-06-01T17:23:53Z,0,0,JavaScript,True,False,gpl-3.0
ParthS007,ParthS007/Battleship,2017-06-29T18:40:23Z,3,3,Python,True,True,
ParthS007,ParthS007/Bookmark-server,2018-09-08T11:20:58Z,6,6,Python,True,True,mit
ParthS007,ParthS007/CALA.AI,2024-03-21T17:16:07Z,0,0,JavaScript,True,True,
ParthS007,ParthS007/CelebrityMatch,2017-07-04T17:23:30Z,9,9,Python,True,True,
ParthS007,ParthS007/chirps,2017-10-13T10:05:49Z,1,1,Python,True,True,mit
ParthS007,ParthS007/comments,2022-01-04T16:08:56Z,0,0,,True,True,
ParthS007,ParthS007/datasets,2019-03-04T14:53:47Z,0,0,Python,True,False,apache-2.0
ParthS007,ParthS007/dimoverse,2024-07-06T14:32:51Z,0,0,TypeScript,True,True,
ParthS007,ParthS007/distributed-systems,2024-10-04T20:17:04Z,0,0,Python,True,True,
